,bookValuePerShare,cashAndEquivalents,debtToEquityRatio,earningsPerBasicShare,freeCashFlowPerShare,grossProfit,marketCapitalization,netCashFlow,netIncome,operatingExpenses,priceSales,researchAndDevelopmentExpense,revenues,salesPerShare,totalLiabilities,profitMargin
MMM,16.646,2853000000,2.721,9.09,8.707,16083000000,115067872000,-200000000,5349000000,8876000000,3.512,1821000000,32765000000,55.675,26652000000,0.163
ABT,17.476,4086000000,1.186,1.34,2.791,17872000000,133720081579,-5563000000,2368000000,14222000000,4.373,2300000000,30578000000,17.394,36451000000,0.077
ABBV,-5.481,7289000000,-8.027,3.67,8.299,25035000000,117136381847,-2014000000,5687000000,18652000000,3.576,10329000000,32753000000,21.254,67798000000,0.174
ABMD,15.617,42975000,0.14,2.54,3.096,495168000,17544727583,3935000,112170000,338031000,29.549,75297000,593749000,13.448,96851000,0.189
ACN,16.493,5061360000,1.324,6.46,8.616,12442913000,101710325804,934500000,4059907000,6601872000,2.445,0,41603428000,66.2,13724495000,0.098
ATVI,14.904,4225000000,0.57,2.38,2.177,4983000000,32187959408,-491000000,1813000000,2995000000,4.292,1101000000,7500000000,9.843,6478000000,0.242
ADBE,19.084,1642775000,1.005,5.28,7.67,7835009000,119468462879,-663297000,2590774000,4994640000,13.23,1537812000,9030008000,18.407,9406568000,0.287
AMD,1.289,1078000000,2.599,0.34,-0.131,2447000000,23172139230,-108000000,337000000,1996000000,3.579,1434000000,6475000000,6.594,3290000000,0.052
AAP,48.161,896527000,1.546,5.75,8.398,4219413000,11978946197,349590000,423847000,3615138000,1.25,0,9580554000,129.945,5489835000,0.044
AES,4.843,1536000000,8.391,1.82,0.335,2573000000,11366067467,74000000,1203000000,458000000,1.059,0,10736000000,16.209,26917000000,0.112
AFL,30.486,4337000000,4.984,3.79,7.815,9758000000,36736273080,846000000,2920000000,5553000000,1.688,0,21758000000,28.272,116944000000,0.134
A,14.227,2247000000,0.869,0.98,2.838,2687000000,20765169790,-431000000,316000000,1759000000,4.226,385000000,4914000000,15.308,3970000000,0.064
APD,49.51,2791300000,0.737,6.83,4.497,2740700000,34589703302,-482300000,1497800000,775100000,3.873,64500000,8930200000,40.721,8002000000,0.168
AKAM,19.077,1036455000,0.711,1.78,3.602,1760989000,11369382541,722558000,298373000,1398490000,4.188,246165000,2714474000,16.224,2269910000,0.11
ALK,30.439,105000000,1.909,3.55,1.907,4415000000,8165080311,-83000000,437000000,3772000000,0.988,0,8264000000,67.062,7161000000,0.053
ALB,33.067,555320000,1.066,6.4,-1.419,1217256000,9758966570,-581983000,693562000,516144000,2.892,70054000,3374950000,31.126,3822566000,0.206
